reflectance_date;km;#NOMBRE?;aerosol;blue;green;red;rojo 1;rojo 2;rojo 3;NIR;rojo 4;SWIR1;SWIR2;scc_date;SSC;RANS;VNES;NIR/RED;NDTI;modelo_rans
4/02/2026;1;0;0.057104003;0.07641601;0.099888;0.112363994;0.119224004;0.093208;0.097504005;0.08306399;0.077368;0.023384001;0.02254;4/02/2026;311.8012082;0.467916147;0.753375964;0.739240277;0.05877916;5.687367821
4/02/2026;1;900;0.05692;0.078256;0.099227995;0.112808;0.119444;0.094299994;0.09854001;0.08392401;0.07888;0.023123998;0.021636;4/02/2026;342.6930457;0.469554363;0.754639902;0.743954418;0.064045753;5.718477777
4/02/2026;17;600;0.050600003;0.07114;0.096392006;0.109675996;0.114656;0.080455996;0.085136;0.070935994;0.064648;0.011115999;0.010364001;4/02/2026;357.0394702;0.48863708;0.798833391;0.646777751;0.064464108;6.080861439
4/02/2026;18;200;0.050584003;0.069731995;0.092807986;0.105548;0.11208;0.08936;0.095124;0.080148004;0.075151995;0.016304001;0.015028001;4/02/2026;394.1334297;0.489229889;0.784512957;0.759351234;0.064228029;6.092118969
4/02/2026;19;800;0.041760005;0.058983997;0.082056;0.09528;0.101884;0.079560004;0.083652;0.070104;0.065076;0.013199999;0.013128;4/02/2026;379.3956;0.497018807;0.803204799;0.735768262;0.074570307;6.240031693
4/02/2026;19;940;0.037216;0.055384003;0.075044;0.08852801;0.094752006;0.073456004;0.077852;0.065363996;0.062104;0.009244001;0.008436;4/02/2026;375.6735514;0.509576162;0.823324516;0.738342543;0.082434703;6.478497752
4/02/2026;14;800;0.06186;0.081332;0.105108;0.119244;0.122084;0.08629999;0.091423996;0.075196005;0.068944;0.015708;0.016004002;4/02/2026;334.4042674;0.471264595;0.767159808;0.630606194;0.06300813;5.750955345
24/02/2026;0;500;0.056212;0.074788004;0.095308;0.10812399;0.116876;0.096712;0.100776;0.086192;0.085628;0.032952;0.031828;25/02/2026;308.9670667;0.452748403;0.72506476;0.797158891;0.062998892;5.399330091
24/02/2026;19;800;0.05534;0.07526;0.09391999;0.106932;0.114428006;0.095075995;0.100676;0.086619996;0.08474;0.038556;0.037003998;25/02/2026;508.7766429;0.441605147;0.70268226;0.810047469;0.064784073;5.187717981
24/02/2026;19;940;0.056479998;0.076263994;0.094392;0.107776;0.11545999;0.095328;0.09996;0.085559994;0.084756;0.039244;0.038032;25/02/2026;357.422565;0.438137366;0.699792399;0.793868709;0.066202366;5.121864303
